url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,280,160
/hgalytoby/MyselfAnimeDownloader/releases,76,60
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,43,34
/hgalytoby/MyselfAnimeDownloader/issues/5,15,15
/hgalytoby/MyselfAnimeDownloader/find/master,14,14
/hgalytoby/MyselfAnimeDownloader/issues/20,14,11
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,14,9
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,13,11
/hgalytoby/MyselfAnimeDownloader/search,8,4
/hgalytoby/MyselfAnimeDownloader/issues/25,7,5
